Account Name,Type,Website,Phone,Billing Street,Billing City,Billing State,Billing Zip,Industry,Description
Philadelphia Tech Solutions Inc,Organization,philtechsol.com,215-555-3001,1500 Market St Suite 2000,Philadelphia,PA,19102,Technology,Major corporate partner with employee matching gift program
Delaware Valley Bank,Organization,dvbank.com,215-555-3002,200 Chestnut St,Philadelphia,PA,19106,Financial Services,Long-term annual sponsor and corporate partner
Smith Family Foundation,Organization,smithfoundation.org,215-555-3003,100 Penn Ave,Philadelphia,PA,19103,Foundation,Local family foundation supporting pediatric research
Healthcare Innovations LLC,Organization,healthinnovations.com,856-555-3004,450 Route 70 E,Cherry Hill,NJ,08034,Healthcare,Healthcare technology company - capital campaign donor
Community Health Trust,Organization,communityhealthtrust.org,215-555-3005,800 Arch St,Philadelphia,PA,19107,Foundation,Regional foundation focused on children's health
Johnson & Partners Law Firm,Organization,johnsonpartners.com,215-555-3006,1700 Market St,Philadelphia,PA,19103,Legal Services,Mid-level corporate sponsor
Tri-State Manufacturing,Organization,tristatemfg.com,856-555-3007,1200 Industrial Blvd,Camden,NJ,08105,Manufacturing,Corporate annual fund donor
Garden State Insurance Group,Organization,gardenstateins.com,609-555-3008,300 Carnegie Center,Princeton,NJ,08540,Insurance,Corporate partner with matching gifts
Pediatric Care Alliance Foundation,Organization,pedcarealliance.org,215-555-3009,400 Walnut St,Philadelphia,PA,19106,Foundation,National foundation supporting children's hospitals
Rivera Construction Company,Organization,riveraconst.com,856-555-3010,550 Kings Highway,Cherry Hill,NJ,08034,Construction,Mid-level corporate supporter
Main Line Medical Supply,Organization,mainlinemedsupply.com,610-555-3011,200 Lancaster Ave,Wayne,PA,19087,Medical Supply,Corporate sponsor and in-kind donor
Franklin Grant Foundation,Organization,franklingrants.org,267-555-3012,1234 Benjamin Franklin Pkwy,Philadelphia,PA,19103,Foundation,Major foundation supporting capital campaign
